Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"TCL","Crops and livestock products","004","Afghanistan","5922","Export value","21429.07","Coconuts, desiccated","2018","2018","1000 USD","5","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5610","Import quantity","21429.07","Coconuts, desiccated","2019","2019","t","9244.92","A","Official figure",""
"TCL","Crops and livestock products","004","Afghanistan","5622","Import value","21429.07","Coconuts, desiccated","2019","2019","1000 USD","6116","A","Official figure",""
"TCL","Crops and livestock products","004","Afghanistan","5610","Import quantity","21429.07","Coconuts, desiccated","2020","2020","t","38.4","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5622","Import value","21429.07","Coconuts, desiccated","2020","2020","1000 USD","85","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5910","Export quantity","21429.07","Coconuts, desiccated","2020","2020","t","2.5","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5922","Export value","21429.07","Coconuts, desiccated","2020","2020","1000 USD","2","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5610","Import quantity","21429.07","Coconuts, desiccated","2021","2021","t","19.9","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5622","Import value","21429.07","Coconuts, desiccated","2021","2021","1000 USD","26","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5910","Export quantity","21429.07","Coconuts, desiccated","2021","2021","t","2.2","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5922","Export value","21429.07","Coconuts, desiccated","2021","2021","1000 USD","4","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5610","Import quantity","21429.07","Coconuts, desiccated","2022","2022","t","354","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5622","Import value","21429.07","Coconuts, desiccated","2022","2022","1000 USD","620","X","Figure from international organizations","Estimated data using trading partners database"
